Date,NH Budget,NH Actual,Production Calendar,Customer Calendar,ADC Calendar,Customer Consumption Last 12 week,Stock Plant : TIC Tool,CLIENT FORCAST S1,HC DIRECT,HC INDIRECT,ABS P,ABS NP,FLUCTUATION,WeekNumber,Month,Year
1.0,0.01990434173410422,0.011822019263456388,-0.006366762325026293,-0.21105595921405548,-0.29379703927092804,0.3583176750618718,0.00987543866907486,-0.2565086992615139,-0.6169165768177168,-0.387861737984093,-0.1385872522558132,-0.226968841641848,-0.27843443205553364,0.49993064706256973,0.4957585636461509,0.8660654410190258
0.01990434173410422,1.0,0.8644356843112214,0.6224447113202509,0.25053388370433927,0.3249883356578619,0.2969902809060033,0.39724921562803234,-0.20473388234568407,0.1451969932348582,0.16503744477166274,-0.5391385380147161,0.24736022264262345,0.13413943690838231,-0.147911286061064,-0.13778237739762933,0.10836332018058956
0.011822019263456388,0.8644356843112214,1.0,0.7158086759693607,0.2773997051238906,0.3238815490965372,0.2894209508288951,0.3733183283190337,-0.10875189550216573,0.21223443297376296,0.26029166576086904,-0.6956461326845388,0.4398775189002459,0.2671372574571234,-0.3042019410502566,-0.30119091108692747,0.18924885433319172
-0.006366762325026293,0.6224447113202509,0.7158086759693607,1.0,0.2794207984107627,0.27793437937414045,0.2228407964581858,0.26914402549990296,0.03770400015578109,0.17995906382398497,0.22864229209657122,-0.694298379069734,0.5454417170005876,0.21361643158875884,-0.18604471701767464,-0.18225198337700024,0.1000417397261276
-0.21105595921405548,0.25053388370433927,0.2773997051238906,0.2794207984107627,1.0,0.8093999857666966,0.15407022017388142,0.324945403487925,0.15221307261484873,0.21065596134640074,0.172566575757698,-0.21639381367734428,0.17829180353586987,0.134372176461654,-0.045870741242943235,-0.041593476926267824,-0.21721657619988693
-0.29379703927092804,0.3249883356578619,0.3238815490965372,0.27793437937414045,0.8093999857666966,1.0,0.3002579247886955,0.4543394546314376,0.11965280703784692,0.38171408551760166,0.35293422700479143,-0.21495772646030226,0.2600361446476028,0.19997292184548834,-0.14747583104646672,-0.13535337758891755,-0.2541024513930558
0.3583176750618718,0.2969902809060033,0.2894209508288951,0.2228407964581858,0.15407022017388142,0.3002579247886955,1.0,0.6418992562156237,0.10657064674826519,0.19483187526068993,0.3270329735253237,-0.10001399239575996,0.15041945308220225,-0.06783600995223693,0.09063303063579356,0.09534226880821318,0.3614131572349681
0.00987543866907486,0.39724921562803234,0.3733183283190337,0.26914402549990296,0.324945403487925,0.4543394546314376,0.6418992562156237,1.0,0.21029284247793414,0.37603339824503745,0.41790213094887096,-0.19368823050920994,0.34837048754299543,0.06674833855784659,-0.18325565872471966,-0.18328281471816257,0.11718578516856393
-0.2565086992615139,-0.20473388234568407,-0.10875189550216573,0.03770400015578109,0.15221307261484873,0.11965280703784692,0.10657064674826519,0.21029284247793414,1.0,0.29840095798899136,0.2665120468740395,0.08506635870190478,0.1591103715903649,0.1727912590899894,-0.2439327605747132,-0.26206857782791554,-0.15536843990599467
-0.6169165768177168,0.1451969932348582,0.21223443297376296,0.17995906382398497,0.21065596134640074,0.38171408551760166,0.19483187526068993,0.37603339824503745,0.29840095798899136,1.0,0.9537207315906714,0.19210980723095908,0.38833311866238085,0.26468322881139267,-0.42181751814805163,-0.4158053390278009,-0.4688295512055954
-0.387861737984093,0.16503744477166274,0.26029166576086904,0.22864229209657122,0.172566575757698,0.35293422700479143,0.3270329735253237,0.41790213094887096,0.2665120468740395,0.9537207315906714,1.0,0.16930587605140326,0.4192080852001805,0.2158963573863173,-0.33239959144218123,-0.3264874809274927,-0.2559679495930882
-0.1385872522558132,-0.5391385380147161,-0.6956461326845388,-0.694298379069734,-0.21639381367734428,-0.21495772646030226,-0.10001399239575996,-0.19368823050920994,0.08506635870190478,0.19210980723095908,0.16930587605140326,1.0,-0.410500501838537,-0.2013056927919125,0.18335470934536044,0.18723146943676783,-0.2658596912375573
-0.226968841641848,0.24736022264262345,0.4398775189002459,0.5454417170005876,0.17829180353586987,0.2600361446476028,0.15041945308220225,0.34837048754299543,0.1591103715903649,0.38833311866238085,0.4192080852001805,-0.410500501838537,1.0,0.2543744339506731,-0.4541378408215472,-0.44489497319619997,7.918913802170011e-05
-0.27843443205553364,0.13413943690838231,0.2671372574571234,0.21361643158875884,0.134372176461654,0.19997292184548834,-0.06783600995223693,0.06674833855784659,0.1727912590899894,0.26468322881139267,0.2158963573863173,-0.2013056927919125,0.2543744339506731,1.0,-0.27538688404386613,-0.2745570347320406,-0.16252823661612453
0.49993064706256973,-0.147911286061064,-0.3042019410502566,-0.18604471701767464,-0.045870741242943235,-0.14747583104646672,0.09063303063579356,-0.18325565872471966,-0.2439327605747132,-0.42181751814805163,-0.33239959144218123,0.18335470934536044,-0.4541378408215472,-0.27538688404386613,1.0,0.9965262904664555,-1.3856541452047618e-13
0.4957585636461509,-0.13778237739762933,-0.30119091108692747,-0.18225198337700024,-0.041593476926267824,-0.13535337758891755,0.09534226880821318,-0.18328281471816257,-0.26206857782791554,-0.4158053390278009,-0.3264874809274927,0.18723146943676783,-0.44489497319619997,-0.2745570347320406,0.9965262904664555,1.0,-0.0028121080075174127
0.8660654410190258,0.10836332018058956,0.18924885433319172,0.1000417397261276,-0.21721657619988693,-0.2541024513930558,0.3614131572349681,0.11718578516856393,-0.15536843990599467,-0.4688295512055954,-0.2559679495930882,-0.2658596912375573,7.918913802170011e-05,-0.16252823661612453,-1.3856541452047618e-13,-0.0028121080075174127,1.0
